biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
384,1008,782,1660,XL
365,968,760,1671,L
355,831,545,1521,S
387,1034,742,1668,XL
384,1063,781,1654,2XL
365,989,709,1599,L
367,940,672,1673,L
365,897,595,1678,M
330,857,491,1623,S
372,973,703,1668,L
383,975,715,1644,L
338,832,488,1446,S
386,1032,730,1684,XL
370,904,610,1619,M
363,951,658,1592,L
370,965,728,1723,L
365,895,627,1634,M
356,944,578,1683,M
334,833,524,1552,S
373,1060,894,1641,XL
368,991,689,1685,L
371,994,758,1656,L
375,945,748,1608,L
395,1094,806,1664,2XL
340,793,477,1582,XS
379,954,696,1720,L
373,1014,678,1536,XL
382,946,607,1546,L
381,940,689,1605,L
353,943,617,1632,M
360,977,695,1661,L
394,1065,815,1665,2XL
359,900,645,1555,M
341,862,557,1578,S
360,896,614,1581,M
380,943,668,1698,L
372,1001,757,1651,L
366,982,682,1657,L
380,1031,786,1649,XL
364,924,622,1687,M
382,999,782,1698,XL
337,865,608,1530,S
370,930,686,1609,M
361,979,773,1606,L
404,1057,998,1745,2XL
379,945,683,1607,L
350,826,471,1560,S
373,978,685,1670,L
355,846,450,1501,S
387,1022,721,1576,XL
348,834,536,1576,S
369,931,639,1626,M
380,981,628,1604,L
377,1052,752,1538,XL
361,930,613,1620,M
380,937,742,1733,L
371,991,767,1732,L
378,985,661,1624,L
342,844,505,1507,S
369,985,666,1640,L
350,863,581,1526,S
384,1057,797,1671,2XL
364,992,679,1655,L
350,838,622,1635,S
356,828,507,1662,S
405,1156,866,1701,3XL
366,886,523,1602,M
369,991,676,1549,L
369,889,571,1677,M
351,907,644,1594,M
349,940,649,1628,M
366,907,580,1619,M
371,983,810,1690,L
370,892,654,1705,M
338,875,570,1625,S
361,977,673,1595,L
364,913,708,1643,M
352,943,538,1667,M
382,1032,771,1661,XL
350,878,602,1560,S
363,906,617,1610,M
385,1028,739,1604,XL
347,881,560,1540,S
363,919,647,1638,M
405,1130,953,1749,3XL
363,1002,748,1661,L
363,934,655,1583,M
346,844,499,1533,S
395,1072,924,1776,2XL
386,1084,716,1713,2XL
362,987,763,1687,L
372,965,591,1603,L
376,993,694,1617,L
377,945,701,1690,L
350,854,566,1623,S
345,825,467,1570,S
355,874,599,1616,S
377,972,642,1690,L
356,873,548,1588,S
354,844,485,1520,S
384,1000,753,1631,XL
356,938,636,1642,M
373,942,740,1773,L
376,1015,721,1623,XL
370,927,677,1630,M
334,841,468,1512,S
385,1072,820,1675,2XL
361,988,664,1498,L
380,984,626,1538,L
370,938,653,1567,L
358,866,539,1590,S
366,949,704,1595,L
363,935,640,1565,L
337,845,470,1523,S
366,949,597,1556,L
375,954,646,1599,L
361,940,726,1611,L
378,988,789,1674,L
369,969,625,1592,L
366,957,680,1617,L
377,997,688,1597,XL
365,997,733,1609,L
365,943,605,1696,L
358,934,722,1723,M
363,985,760,1695,L
369,996,602,1587,L
372,966,765,1712,L
366,908,671,1628,M
373,985,589,1520,L
356,864,529,1616,S
362,890,596,1649,M
368,958,676,1653,L
351,926,658,1638,M
347,878,596,1646,S
358,858,556,1530,S
351,870,561,1603,S
370,923,613,1627,M
394,1057,823,1688,2XL
369,896,561,1547,M
377,991,754,1621,L
368,952,583,1614,L
388,1067,920,1743,2XL
394,1105,841,1603,2XL
394,999,660,1619,XL
386,1014,842,1709,XL
370,896,596,1587,M
373,943,688,1687,L
369,996,748,1573,L
371,976,699,1600,L
341,834,468,1584,S
365,1004,789,1583,L
370,896,592,1608,M
378,951,746,1609,L
311,772,428,1513,XS
381,1034,853,1704,XL
348,899,664,1708,M
337,867,565,1583,S
374,971,702,1664,L
378,987,812,1722,L
376,979,686,1589,L
357,887,562,1595,M
349,859,564,1590,S
376,980,653,1575,L
367,984,777,1654,L
359,900,681,1548,M
359,895,589,1653,M
373,1024,750,1606,XL
382,948,744,1700,L
390,1033,793,1790,XL
375,960,735,1643,L
387,1000,705,1640,XL
356,866,493,1562,S
373,950,654,1656,L
395,1159,856,1631,3XL
363,920,659,1603,M
353,829,524,1602,S
352,925,685,1642,M
