biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
427,1120,929,1735,XL
453,1208,1162,1810,2XL
425,1087,954,1850,L
406,964,702,1811,S
412,1117,882,1780,L
408,961,701,1733,S
466,1231,1116,1861,3XL
414,1060,896,1709,L
413,1092,924,1740,L
394,999,760,1748,S
420,1000,714,1780,M
395,977,746,1680,S
410,1098,965,1755,L
442,1158,1073,1825,XL
395,964,793,1795,S
403,971,782,1745,S
400,1057,882,1818,M
398,947,665,1675,S
448,1182,1218,1850,2XL
395,981,719,1737,S
422,1086,881,1743,L
386,865,575,1744,XS
413,1013,850,1836,M
428,1152,865,1730,XL
410,1096,958,1762,L
404,957,667,1669,S
388,985,706,1740,S
419,1081,834,1844,L
406,1037,773,1704,M
448,1469,1400,1840,3XL
380,858,566,1609,XS
410,1044,717,1709,M
400,1033,802,1679,M
447,1213,1053,1850,2XL
395,989,749,1619,S
439,1129,988,1750,XL
431,1063,987,1799,L
405,963,744,1791,S
425,1098,823,1723,L
404,1024,778,1718,M
407,1043,882,1799,M
400,1008,730,1702,M
402,1044,866,1730,M
395,917,737,1785,S
403,1001,727,1657,M
421,1104,968,1755,L
409,1045,866,1791,M
405,1015,742,1759,M
417,1109,920,1790,L
402,991,814,1782,M
343,844,646,1839,XS
412,1085,853,1738,L
428,1085,900,1734,L
413,1030,872,1815,M
412,1106,822,1673,L
434,1163,1112,1831,XL
412,1089,987,1795,L
425,1149,1105,1845,XL
447,1358,1413,1846,3XL
416,1025,789,1657,M
395,1000,690,1632,S
420,1026,792,1735,M
389,989,699,1726,S
385,970,706,1765,S
415,1038,760,1811,M
417,1113,988,1739,L
413,1024,898,1788,M
404,1057,831,1750,M
438,1132,968,1847,XL
450,1175,1080,1780,2XL
420,1115,949,1797,L
435,1112,906,1755,XL
427,1165,1069,1842,XL
401,1056,874,1656,M
417,1048,879,1776,M
418,1041,790,1685,M
414,1021,866,1825,M
445,1225,1099,1819,2XL
416,1102,951,1721,L
453,1194,1118,1910,2XL
415,1097,895,1804,L
440,1116,951,1777,XL
387,995,721,1665,S
413,1092,872,1803,L
425,1084,958,1835,L
445,1150,1123,1792,XL
412,1098,900,1721,L
424,1071,950,1809,L
415,1027,777,1705,M
452,1167,1080,1955,2XL
431,1082,840,1730,L
400,947,707,1724,S
401,948,705,1705,S
411,1058,851,1838,L
412,1028,822,1773,M
408,1048,842,1734,M
408,995,783,1757,M
422,1063,858,1641,L
438,1156,1034,1770,XL
402,978,725,1702,S
381,965,678,1715,S
421,1080,909,1710,L
443,1158,1086,1935,XL
403,1013,758,1738,M
393,985,728,1673,S
459,1285,1109,1715,3XL
439,1157,1141,1913,XL
414,1049,907,1756,M
430,1063,846,1735,L
429,1120,869,1716,XL
399,941,680,1718,S
383,810,474,1567,XS
427,1091,1078,1862,L
385,846,540,1654,XS
427,1071,871,1738,L
430,1172,1071,1813,XL
411,1035,791,1738,M
457,1203,1096,1815,2XL
413,1047,866,1689,M
408,977,756,1740,S
402,1014,834,1782,M
406,1041,812,1784,M
412,1082,845,1647,L
429,1166,941,1740,XL
402,967,644,1664,S
431,1078,907,1745,L
393,963,718,1605,S
423,1053,813,1810,L
